name,category,lat,lon
Espace L. Michel,community_centre,43.6661495,3.8592814
Saint-Drezery,post_office,43.7332769,3.9807214
La Table d'Emilie,restaurant,43.3558271,3.5281767
Mairie de Pignan,townhall,43.5818618,3.761752
Basirico Serge,bicycle,43.6152079,3.8759114
Panoramique du Mont Saint-Clair,viewpoint,43.4022216,3.6855498
Pierres Blanches,viewpoint,43.4036296,3.6687262
Canal,parking_entrance,43.4018661,3.6973056
,toilets,43.3539893,3.5296175
Crédit Agricole,bank,43.3561334,3.526684
La Tavola,restaurant,43.3538758,3.5323159
Tarverne du Port,restaurant,43.3537826,3.5324943
La Pacheline,restaurant,43.3537611,3.5328886
Entre Ciel et Mer,restaurant,43.3536578,3.5331649
,recycling,43.5851283,3.8592499
,recycling,43.5863643,3.8576459
Pharmacie du Grand M,pharmacy,43.5886534,3.856665
Boucherie Sedec (Thierry Barreau),butcher,43.5887521,3.8562148
Caisse d'Épargne,bank,43.5970518,3.8646518
Montpellier Mas Drevon,post_office,43.5955432,3.8682665
Pharmacie Julien,pharmacy,43.7344418,3.9798365
Cyclable - On Avance,bicycle,43.6159901,3.8756613
La Réserve Rimbaud,restaurant,43.6169645,3.8929317
Café Paume,cafe,43.6066451,3.8756204
McDonald's,fast_food,43.6086422,3.8792764
Gibert Joseph,stationery,43.6106191,3.8769377
Le Bistrot Victoria,cafe,43.6099426,3.876281
,post_box,43.6176924,3.8447712
Utile,convenience,43.6215775,3.8472385
Pharmacie d'Alco,pharmacy,43.6227953,3.8445134
,recycling,43.6164485,3.883936
Pizzalab,fast_food,43.616111,3.8817173
,picnic_site,43.4609232,3.7957231
Hôtel les Coquilles,cafe,43.5258437,3.9283266
LCL,bank,43.5289432,3.9298161
,recycling,43.5294559,3.9259396
Pharmacie de Grabels,pharmacy,43.6469796,3.8043912
Julien Michel,bakery,43.6478161,3.7978085
Vacheval en fers à cheval,artwork,43.6459943,3.8103418
Le Charleston,bar,43.6461063,3.8029382
,post_box,43.6469595,3.8023461
Source de l'Avy,viewpoint,43.6467568,3.7922347
,bar,43.6478937,3.7972359
,fountain,43.6471629,3.7971266
,parking,43.6486088,3.7968945
Fontaine Carrée,fountain,43.6474678,3.7963936
La Grabelloise,bakery,43.6483079,3.7962188
,drinking_water,43.6041743,3.8719821
Europa,car_sharing,43.6079283,3.8928277
Carnot,car_sharing,43.6032434,3.8849886
Corum,car_sharing,43.612807,3.881621
Jeu de Mail des Abbés,car_sharing,43.6197908,3.8839408
,parking_entrance,43.5933084,3.8415177
,parking,43.596303,3.8363903
,convenience,43.5964954,3.8362711
Le Jardinet,restaurant,43.6040947,3.8823948
L'Escapade,restaurant,43.6047569,3.8825449
,post_box,43.6382253,3.819871
,bicycle_parking,43.6151992,3.8740209
,bicycle_parking,43.6141744,3.8733234
Pedibus,walkingbus_stop,43.6953386,3.8735256
Le Bistrot Vinaigrette,restaurant,43.6971767,3.8654543
Vétérinaire,veterinary,43.6898575,3.8632639
Utopia Montpellier,cinema,43.6290187,3.8690846
Charlie's Beer,pub,43.6064588,3.8823876
L'Etage,restaurant,43.6187842,3.8562421
@rchipel Learning Center Montpellier SupAgro/Inrae,library,43.618861,3.8551976
,newsagent,43.6294905,3.8701489
Albert 1er,car_sharing,43.6173138,3.8730356
Saint-Éloi,car_sharing,43.6260039,3.8666082
Arc de Triomphe,car_sharing,43.6109823,3.8727484
Gambetta,car_sharing,43.6079992,3.8690684
Mas Drevon,car_sharing,43.5953492,3.8675054
Port Marianne,car_sharing,43.6019854,3.9002343
Renouvier,car_sharing,43.6031881,3.8678316
La Taquéria,fast_food,43.6158987,3.8811297
Couleurs de Lune,gift,43.6168628,3.8800626
,convenience,43.6154829,3.8811991
Fébéo,butcher,43.6163949,3.8805809
,recycling,43.6167011,3.8801227
La Lunetterie des Beaux-Arts,optician,43.6164792,3.8800992
Chez Vincent,restaurant,43.6165504,3.880033
Montpellier Redline,nightclub,43.6086735,3.8753105
Halles Tropisme,fast_food,43.6091997,3.8800806
Synagogue Mazal Tov,place_of_worship,43.6175488,3.8785566
Le Decorum,cafe,43.6139413,3.8803896
Lady Sushi,fast_food,43.6139025,3.8803601
King kebab,convenience,43.6148524,3.878353
,post_box,43.6140015,3.8804125
Les Ateliers Léonard,arts_centre,43.6182922,3.8738004
Au Rythme du Pain,bakery,43.616892,3.8746227
Presse du Corum,newsagent,43.6140096,3.8803967
Cap Chef,fast_food,43.6159701,3.8747604
,recycling,43.6171814,3.873201
,atm,43.615961,3.8747016
Le Quartier Généreux,bar,43.6159316,3.8748747
Point Zero,nightclub,43.6158644,3.8750967
Pharmacie du Verdanson,pharmacy,43.6157179,3.8746513
Le Léon Blum,tobacco,43.6067838,3.8904598
Sun Osaka,restaurant,43.6072804,3.8893447
,restaurant,43.6157639,3.8814419
,atm,43.6086385,3.8841534
Welcomedia,cafe,43.6081393,3.8788562
Tabac de la Comédie,newsagent,43.608332,3.8788077
Pharmacie du Théâtre,pharmacy,43.6082775,3.8787383
Les Trois Grâces,cafe,43.6084255,3.8801284
Rockstore,arts_centre,43.6062418,3.8813648
Yam's,cafe,43.6084911,3.8790502
Café du Théâtre,cafe,43.6084575,3.8789945
Art Café,cafe,43.615721,3.8808925
,doctors,43.6724934,4.1326839
Café de la Mer,cafe,43.6115957,3.877813
,newsagent,43.6270664,3.8750177
La Banque Postale,bank,43.6271692,3.8752585
Fez Laverie,laundry,43.6134402,3.8797836
Bar des Amis,cafe,43.6140549,3.8803762
Le Chat Perché,restaurant,43.6134681,3.8791827
Centre de Loisirs Associatif La Gerbe,community_centre,43.6053168,3.8707862
Crèche La Gerbe,kindergarten,43.6052469,3.8706532
Crèche collective municipale Antigone,kindergarten,43.6072273,3.8845815
